artist_id,artist_name,nb_album,nb_fan,fan_band
95415,Academy Of Ancient Music,156,3881,1K-50K
96785,Stylus,84,135,Under 1K
97261,Capital Letters,13,1477,1K-50K
97385,Ma Rainey,38,3250,1K-50K
98501,The Itals,8,2015,1K-50K
98985,Yiruma,56,182421,50K-500K
103213,"The Mozart Orchestra, Davis Jerome & Richard Woodhams",0,19,Under 1K
103629,Half Pint,50,3343,1K-50K
104683,Barbatuques,62,25843,1K-50K
105022,Memphis Minnie & Kansas Joe,4,77,Under 1K
106632,Blessd,134,265092,50K-500K
107096,Dustin O'Halloran,55,51357,50K-500K
107942,Bob Baldwin,71,2574,1K-50K
110654,John Klemmer,23,531,Under 1K
113148,Àtic,53,210,Under 1K
113240,Z.Z. Hill,22,3371,1K-50K
114153,Vânia Bastos,22,529,Under 1K
116523,Los Angeles Azules,87,1523709,500K-5M
116891,Latimore,38,3355,1K-50K
122996,Mighty Diamonds,34,8137,1K-50K
123569,Pat Kelly,112,2065,1K-50K
123595,Joe Higgs,12,8579,1K-50K
123617,Ernie K-Doe,23,386,Under 1K
125372,DaVido,137,901812,500K-5M
127253,Cripple Clarence Lofton,4,63,Under 1K
127935,2Unes,15,23,Under 1K
131143,Celia,9,13866,1K-50K
131886,Motionless In White,39,281103,50K-500K
134161,Paul Freeman,48,270,Under 1K
134790,Tame Impala,39,1137613,500K-5M
142381,Deadmau5,168,1119943,500K-5M
149013,Derek & The Dominos,7,75910,50K-500K
152120,Nara Leão,36,105640,50K-500K
152152,Jeff Lorber,28,7932,1K-50K
152788,La Roux,26,152131,50K-500K
157376,Wayman Tisdale,13,4598,1K-50K
158391,Dick Van Dyke,3,1819,1K-50K
158474,Weldon Irvine,12,1504,1K-50K
158697,Christine McVie,11,4771,1K-50K
159126,Architects,22,222599,50K-500K
160727,Pierre Hantaï,42,7554,1K-50K
162668,D.O.D,150,11338,1K-50K
165930,Future,133,3985952,500K-5M
166139,Ken Parker,44,474,Under 1K
166633,Herb Alpert,44,12565,1K-50K
166763,Echo and the Bunnymen,42,211476,50K-500K
167095,2Pac,23,4126722,500K-5M
167268,The Baba Brooks Band,2,163,Under 1K
168632,Berliner Philharmoniker,278,627609,500K-5M
173191,Karizma,156,4269,1K-50K
178412,Jan Jelinek,30,3621,1K-50K
182978,Fred Wesley & The J.B.'s,0,1331,1K-50K
183201,Owl City,26,762298,500K-5M
183674,Maxi Priest,74,64958,50K-500K
184249,Denise LaSalle,29,9155,1K-50K
186223,Martha Reeves & The Sweet Things,0,24,Under 1K
191863,Gayla Peevey,3,271,Under 1K
192548,Los Tucanes De Tijuana,140,674097,500K-5M
193331,The Smashing Pumpkins,33,1767411,500K-5M
194594,The Gaturs,2,117,Under 1K
194746,Beastie Boys,37,687600,500K-5M
205399,Leandro Lehart,38,32929,1K-50K
210406,Russ Freeman & The Rippingtons,2,224,Under 1K
211053,Jonathan Biss,30,389,Under 1K
211131,Philippe Jaroussky,62,37791,1K-50K
211430,Antonio Pappano,113,3369,1K-50K
215702,Robert Glasper,31,43641,1K-50K
241376,Orchestra Of The Age Of Enlightenment,79,1566,1K-50K
241426,Novos Baianos,14,149402,50K-500K
242132,Luke Bryan,64,622893,500K-5M
242649,Berliner Barock Solisten,42,657,Under 1K
242754,Bobby Pulido,78,31313,1K-50K
243761,Fonseca,51,513621,500K-5M
244207,Hesperion Xx,9,972,Under 1K
244594,Jodi Benson,5,977,Under 1K
244962,Kyla,15,10259,1K-50K
245438,Fally Ipupa,91,454747,50K-500K
246791,Drake,79,24084384,Over 5M
248102,Edward Sharpe & The Magnetic Zeros,11,94697,50K-500K
248813,Ernest Bour,52,67,Under 1K
251751,"Jeanne Lamon, Tafelmusik Orchestra",2,54,Under 1K
253382,Bobby Lyle,8,394,Under 1K
253773,Marcia Aitken,3,586,Under 1K
255154,Gould Piano Trio,38,83,Under 1K
256599,Geraldine Hunt,2,1844,1K-50K
267901,Bpm,46,3955,1K-50K
269912,Ronnie Dyson,11,209,Under 1K
271089,Peppermint Harris,14,252,Under 1K
275773,Rhythm & Sound,14,3556,1K-50K
277491,Ólafur Arnalds,90,183819,50K-500K
288166,Justin Bieber,58,11154007,Over 5M
292185,Selena Gomez,70,5543054,Over 5M
292455,Justin Moore,35,77413,50K-500K
293585,Avicii,67,8362160,Over 5M
298705,Wiener Philharmoniker,331,316555,50K-500K
303073,Sir Victor Uwaifo,31,517,Under 1K
310260,Stromae,17,3482761,500K-5M
317690,Peacocks Guitar Band International,7,63,Under 1K
318860,Badger,59,1144,1K-50K
328088,Role Model,20,24896,1K-50K
329865,Jonathan Groff,4,4576,1K-50K
336330,Marijata,1,578,Under 1K
336332,Ebo Taylor,21,10932,1K-50K
343288,Samuel E. Wright,0,623,Under 1K
343290,Chris Stapleton,25,327867,50K-500K
345052,Tinashe,73,519082,500K-5M
352219,Soulja Boy,90,591227,500K-5M
360305,Harvey Averne,3,31,Under 1K
365824,Nesta,9,2000,1K-50K
369151,Ofege,7,690,Under 1K
369236,Dojo Cuts,46,7693,1K-50K
372147,Star Number One de Dakar,1,794,Under 1K
372631,Washed Out,23,41846,1K-50K
375433,Bridge,85,1064,1K-50K
379486,Michel Teló,56,1703466,500K-5M
380832,fun.,10,923655,500K-5M
380955,Prince Royce,57,2629053,500K-5M
382905,Nadia Ali,50,95167,50K-500K
384717,Bola Johnson,3,169,Under 1K
385626,Jerry Hansen & The Ramblers Dance Band Of Ghana,4,142,Under 1K
390174,Fatoumata Diawara,48,115076,50K-500K
390575,Orgone,46,3875,1K-50K
391017,Small Black,29,5842,1K-50K
393271,Jimmy Thackery,17,7005,1K-50K
394661,Cedric Burnside,10,3085,1K-50K
394685,Tom Braxton,22,245,Under 1K
394735,Tinsley Ellis,24,28675,1K-50K
395215,Sol Gabetta,51,24443,1K-50K
396180,Matt Haimovitz,53,1128,1K-50K
398298,Agnes Obel,30,311442,50K-500K
398521,Lil Baby,108,1445880,500K-5M
399990,Kacey Musgraves,27,77527,50K-500K
405567,Hardy,43,33529,1K-50K
407188,Swedish House Mafia,46,2168805,500K-5M
408352,Trio Wanderer,34,2570,1K-50K
408375,Anubis,132,1700,1K-50K
409258,Renaud Capuçon,87,26366,1K-50K
409796,Disclosure,81,985994,500K-5M
410770,Culture Shock,79,7872,1K-50K
413421,Nicola Benedetti,37,15799,1K-50K
